id,recipe_name,ingredients,dietary_tags,meal_type,cuisine_type,instructions,allergens,id
311,Gluten-Free Pancakes,"Lentils, Carrots, Celery, Garlic, Vegetable broth","low-carb, keto-friendly, vegan",lunch,Italian,"Chop all vegetables into small pieces. Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool. Serve immediately or store in the refrigerator for later. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a skillet, sauté onions and garlic until golden.",Eggs,311
312,Protein Smoothie,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup",low-carb,snack,Asian,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",,312
313,Taco Salad,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup",dairy-free,dinner,Asian,"Garnish with herbs, nuts, or seeds for extra flavor. Layer the ingredients in a bowl or plate and drizzle with dressing. Serve immediately or store in the refrigerator for later. Roast the vegetables in the oven for 20-25 minutes.",,313
314,Avocado Toast,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil",vegetarian,dinner,Mediterranean,"Layer the ingredients in a bowl or plate and drizzle with dressing. Roast the vegetables in the oven for 20-25 minutes. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor.",Eggs,314
315,Gluten-Free Pancakes,"Banana, Whey protein, Almond milk, Peanut butter","vegetarian, vegan",snack,Italian,"In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing. Roast the vegetables in the oven for 20-25 minutes. Serve immediately or store in the refrigerator for later.",,315
316,Lentil Soup,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","gluten-free, paleo",dinner,Indian,"Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth. In a skillet, sauté onions and garlic until golden. Garnish with herbs, nuts, or seeds for extra flavor. Layer the ingredients in a bowl or plate and drizzle with dressing. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",Eggs,316
317,Protein Smoothie,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup",high-protein,lunch,Asian,"Blend the ingredients for the dressing until smooth. Roast the vegetables in the oven for 20-25 minutes. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor.",,317
318,Vegan Buddha Bowl,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil",vegan,snack,Asian,"In a skillet, sauté onions and garlic until golden. Roast the vegetables in the oven for 20-25 minutes. Blend the ingredients for the dressing until smooth. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Dairy,318
319,Gluten-Free Pancakes,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon","vegetarian, dairy-free",breakfast,Indian,"Garnish with herbs, nuts, or seeds for extra flavor. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side.",,319
320,Vegan Buddha Bowl,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","vegan, dairy-free, high-protein",dinner,Asian,"Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor. Blend the ingredients for the dressing until smooth.",,320
321,Vegan Buddha Bowl,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","dairy-free, vegetarian",snack,Mediterranean,"Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Blend the ingredients for the dressing until smooth. Garnish with herbs, nuts, or seeds for extra flavor. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Roast the vegetables in the oven for 20-25 minutes.",Dairy,321
322,Lentil Soup,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","vegan, high-protein, gluten-free",snack,Mediterranean,Serve immediately or store in the refrigerator for later. Layer the ingredients in a bowl or plate and drizzle with dressing. Roast the vegetables in the oven for 20-25 minutes. Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool. Blend the ingredients for the dressing until smooth.,Gluten,322
323,Beef Stir Fry,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","keto-friendly, paleo",dinner,Italian,"Cook the quinoa according to package instructions and let it cool. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Garnish with herbs, nuts, or seeds for extra flavor. In a skillet, sauté onions and garlic until golden.",Eggs,323
324,Taco Salad,"Quinoa, Chickpeas, Spinach, Avocado, Hummus, Lemon",vegan,snack,Mexican,"Serve immediately or store in the refrigerator for later. In a skillet, sauté onions and garlic until golden. Chop all vegetables into small pieces. Layer the ingredients in a bowl or plate and drizzle with dressing.",Gluten,324
325,Lentil Soup,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","vegetarian, keto-friendly",breakfast,Mexican,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing. Roast the vegetables in the oven for 20-25 minutes. Garnish with herbs, nuts, or seeds for extra flavor.",Gluten,325
326,Shrimp Pasta,"Lentils, Carrots, Celery, Garlic, Vegetable broth","dairy-free, gluten-free, vegan",breakfast,Italian,"Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor. Serve immediately or store in the refrigerator for later. In a skillet, sauté onions and garlic until golden. Blend the ingredients for the dressing until smooth.",Gluten,326
327,Vegetarian Chili,"Banana, Whey protein, Almond milk, Peanut butter","high-protein, vegan, gluten-free",dinner,Mediterranean,"Chop all vegetables into small pieces. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Garnish with herbs, nuts, or seeds for extra flavor. Roast the vegetables in the oven for 20-25 minutes. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Cook the quinoa according to package instructions and let it cool.",Peanuts,327
328,Gluten-Free Pancakes,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil",low-carb,dinner,Mediterranean,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Chop all vegetables into small pieces. Garnish with herbs, nuts, or seeds for extra flavor. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Eggs,328
329,Beef Stir Fry,"Lentils, Carrots, Celery, Garlic, Vegetable broth",high-protein,lunch,Italian,"Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Serve immediately or store in the refrigerator for later. In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Peanuts,329
330,Beef Stir Fry,"Chicken breast, Romaine lettuce, Caesar dressing, Parmesan, Croutons","vegetarian, low-carb, paleo",breakfast,Asian,"Chop all vegetables into small pieces. Garnish with herbs, nuts, or seeds for extra flavor. Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth.",Dairy,330
331,Taco Salad,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","vegetarian, high-protein, vegan",lunch,Mexican,"Layer the ingredients in a bowl or plate and drizzle with dressing. Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",,331
332,Gluten-Free Pancakes,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips",dairy-free,dinner,Asian,"Garnish with herbs, nuts, or seeds for extra flavor. Cook the quinoa according to package instructions and let it cool. Chop all vegetables into small pieces. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. In a skillet, sauté onions and garlic until golden.",Peanuts,332
333,Chicken Caesar Salad,"Gluten-free flour, Almond milk, Eggs, Baking powder, Maple syrup","gluten-free, low-carb",lunch,Asian,"In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Layer the ingredients in a bowl or plate and drizzle with dressing. Chop all vegetables into small pieces. Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Roast the vegetables in the oven for 20-25 minutes.",Gluten,333
334,Protein Smoothie,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","dairy-free, paleo, keto-friendly",snack,Asian,"Blend the ingredients for the dressing until smooth. Chop all vegetables into small pieces. Garnish with herbs, nuts, or seeds for extra flavor. Layer the ingredients in a bowl or plate and drizzle with dressing.",Peanuts,334
335,Gluten-Free Pancakes,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","paleo, vegan",dinner,Mexican,"Layer the ingredients in a bowl or plate and drizzle with dressing. In a skillet, sauté onions and garlic until golden. Garnish with herbs, nuts, or seeds for extra flavor. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper.",Gluten,335
336,Shrimp Pasta,"Whole grain bread, Avocado, Cherry tomatoes, Olive oil",vegan,lunch,Asian,"Layer the ingredients in a bowl or plate and drizzle with dressing. In a skillet, sauté onions and garlic until golden. In a bowl, mix the chopped vegetables with chickpeas, olive oil, lemon juice, salt, and pepper. Chop all vegetables into small pieces. Blend the ingredients for the dressing until smooth. Cook the quinoa according to package instructions and let it cool.",Gluten,336
337,Protein Smoothie,"Beef strips, Bell peppers, Soy sauce, Garlic, Olive oil","vegetarian, gluten-free, paleo",dinner,Indian,"In a skillet, sauté onions and garlic until golden. Layer the ingredients in a bowl or plate and drizzle with dressing. Serve immediately or store in the refrigerator for later. Blend the ingredients for the dressing until smooth. Chop all vegetables into small pieces.",,337
338,Gluten-Free Pancakes,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","dairy-free, low-carb",dinner,American,"Serve immediately or store in the refrigerator for later. Garnish with herbs, nuts, or seeds for extra flavor. Chop all vegetables into small pieces. Roast the vegetables in the oven for 20-25 minutes.",,338
339,Vegan Buddha Bowl,"Ground beef, Lettuce, Tomatoes, Cheddar, Tortilla chips","high-protein, gluten-free, vegan",dinner,American,"Cook the quinoa according to package instructions and let it cool. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Roast the vegetables in the oven for 20-25 minutes. Serve immediately or store in the refrigerator for later.",Peanuts,339
340,Protein Smoothie,"Shrimp, Fettuccine, Garlic, Butter, Parmesan","dairy-free, low-carb",dinner,Italian,"Roast the vegetables in the oven for 20-25 minutes. Season the chicken with salt, pepper, and olive oil, then grill it for 10-12 minutes per side. Cook the quinoa according to package instructions and let it cool. In a skillet, sauté onions and garlic until golden. Chop all vegetables into small pieces.",,340
